type,title,doi,5a,5b,6a,7,8a,9a,9b,10,11,cpm_type,first_auth_country,ethics,helsinki,practical use,other comments
stroke,Design and Development of Modified Ensemble Learning with Weighted RBM Features for Enhanced Multi-disease Prediction Model,10.1007/s00354-022-00190-2,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,na,The article developed one clinical prediction model using multiple different disease datasets. 
stroke,Stroke Prediction Using the Trust Evaluation with Data Leakage Avoiding,10.1088/1742-6596/2560/1/012051,yes,no,yes,yes,no,no,no,no,yes,development,China,no statement,no statement,na,The article mentions the data comes from bangladesh clinics.
stroke,A Novel Explainable Attention-Based Meta-Learning Framework for Imbalanced Brain Stroke Prediction,10.3390/s25061739,no,no,no,yes,no,no,no,no,yes,development,Saudi Arabia,no statement,no statement,na,Article did mention that more work is needed before any practical application
stroke,Unlocking stroke prediction: Harnessing projection-based statistical feature extraction with ML algorithms,10.1016/j.heliyon.2024.e27411 ,no,no,no,yes,no,no,no,no,yes,development,Bangladesh,statement that ethical approval is not required,no statement,"In order to implement the trained random forest classification model, a web application and flask application are developed. An application to facilitate efficient and rapid detection of this disease for healthcare professionals will be developed in the area of further research.",Article mentions that a web based prediction tool was developed and implemented
stroke,SRADHO: statistical reduction approach with deep hyper optimization for disease classification using artificial intelligence,10.1038/s41598-024-82838-1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,does not use data
stroke,Logistic Regression for Stroke Prediction: An Evaluation of its Accuracy and Validity ,10.54097/hset.v39i.6712,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,"These findings suggest that this approach may be useful in identifying individuals at high risk for stroke, and could potentially be used in clinical settings to guide preventative measures.","Problematic issues like changing data without logical reason. ""from unkown"" to ""never_smoked"", as it is unlikely that these individuals have smoked""."
stroke,Tools for Healthcare Data Lake Infrastructure Benchmarking,10.1007/s10796-023-10468-5,na,na,na,na,na,na,na,na,na,na,Italy,statement that ethics is not applicable,no statement,na,not a clinical prediction model study
stroke,Ask Your Data—Supporting Data Science Processes by Combining AutoML and Conversational Interfaces,10.1109/ACCESS.2023.3272503,na,na,na,na,na,na,na,na,na,na,na,na,na,na,not a clinical prediction model study
stroke,An Efficient Hybrid Model Based on Modified Whale Optimization Algorithm and Multilayer Perceptron Neural Network for Medical Classification Problems,10.1007/s42235-022-00216-x,na,na,na,na,na,na,na,na,na,na,Iran,na,na,na,not a clinical prediction model study
stroke,Optimizing Accuracy of Stroke Prediction Using Logistic Regression,10.37802/joti.v4i2.278,no,no,no,yes,no,no,no,no,yes,development,Iraq,no statement,no statement,"Results indicate that, in comparison to the other five LR based model, our model can be a useful tool for predicting the occurrence of stroke with the accuracy of 0.86 percent, an AUC of 0.93 percent and an F-measure of 0.87 percent, the model can distinguish itself from other models and outperforms the other methods.",na
stroke,A Review of Machine Learning’s Role in Cardiovascular Disease Prediction: Recent Advances and Future Challenges,10.3390/a17020078,na,na,na,na,na,na,na,na,na,na,na,na,na,na,not a clinical prediction model study but is a review study including the dataset
stroke,Stroke Risk Factor Prediction Using Machine Learning Techniques: A Systematic Review,10.3923/jas.2024.1.15,na,na,na,na,na,na,na,na,na,na,United States of America,no statement,no statement,na,not a clinical prediction model study but is a review study including the dataset
stroke,Enhanced Stroke Risk Prediction: A Fusion of Machine Learning Models for Improved Healthcare Strategies,10.1007/s42979-024-03389-w,yes,no,yes,yes,no,no,no,no,no,development,India,no statement,no statement,"XAI makes these complicated models interpretable, helping medical professionals and patients understand the decision-making process and follow personalized healthcare recommendations.",article mentioned that the dataset comes from clinics in bangladesh
stroke,Navigating Heart Stroke Terrain: A Cutting-Edge Feed-Forward Neural Network Expedition,10.47738/jads.v6i3.763,no,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,Collaboration with healthcare professionals to integrate the FFN model into clinical practice for real-time patient risk assessment is crucial. Developing a user-friendly interface for healthcare providers to easily access and interpret model predictions is essential for practical implementation.,na
stroke,Stroke prediction based on improved machine learning algorithm,10.1117/12.2659156,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,"For the method of manual data input, users can manually input gender, age, heart disease, married history, type of work, type of residence, average blood glucose level, BMI, smoking status, and adjust the new features constructed in this study.",Article appears to have made a web based application for the prediction model
stroke,Stroke risk prediction using multiple machine learning algorithms,10.1117/12.2673750,no,no,no,yes,no,no,no,no,yes,development,China,no statement,no statement,This machine learning model has excellent clinical potential to function as a more reliable assessment in the future by adding global multicenter data. It has superior clinical potential as a more reliable diagnostic tool to enhance stroke prediction.,na
stroke,AN ANALYSIS OF BRAIN STROKE PREDICTION USING MACHINE LEARNING ,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,duplicate
stroke,Predicting stroke risk: An effective stroke prediction model based on neural networks,10.1016/j.jnrt.2024.100156,no,no,no,yes,no,no,no,no,yes,development,India,statement that ethics is not applicable,no statement,"The usage of these models in actual clinical settings could also be studied, with an emphasis on creating approachable tools and user interfaces for the prospective adoption of machine learning in stroke prediction.",The article identifies the outcome as a heart stroke not a brain stroke
stroke,"Enhancing Healthcare Insights, Exploring Diverse Use-Cases with K-means Clustering",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,not a clinical prediction model study
stroke,A Hybrid Machine Learning Approach to Predict the Risk of Having Stroke,10.1145/3542954.3543020,no,no,no,yes,no,no,no,no,yes,development,Bangladesh,no statement,no statement,The essential intent of this research was to develop the flow work with an inventive and novel method of building the model and to make the model valuable and effectively implementable in viable settings.,na
stroke,Harnessing the hybrid machine learning methods for stroke risk classification,10.1080/10255842.2025.2501636,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,na,na
stroke,Comparative Evaluation of Machine Learning Models for Stroke Prediction in Clinical Settings,10.37256/ccds.6220256976,no,no,no,yes,no,no,no,no,yes,development,Bangladesh,no statement,no statement,"The study underscores the importance of AI in early stroke detection, offering a reliable and interpretable framework for clinical applications. By leveraging ensemble learning and robust preprocessing techniques, this work contributes to improved diagnostic accuracy, potentially reducing stroke-related morbidity and mortality.","The article does note that the data is not from a peer-reviewed clinical study or government registry and there is a lack of documentation, that it is potentially synthetic or anonymized. Yet talks of practical implications and the potential scope to implement into stroke risk monitoring"
stroke,Fusing Attention and Convolution: A Hybrid Model for Brain Stroke Prediction,10.4108/eetsis.7022,no,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,"Plans include adding more complete patient data and refining the model to achieve even higher precision, which should result in better approaches to stroke treatment and prevention.",na
stroke,A Web-Based Interface That Leverages Machine Learning to Assess an Individual’s Vulnerability to Brain Stroke,10.1109/ACCESS.2025.3566093,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,"In conclusion, this research has successfully developed and tested a fully operational web-based interface designed to assess an individual’s risk of brain stroke, a leading global health concern.",The article has developed a clinical prediction model that is available to be used online https://strokedetection.streamlit.app/
stroke,Efficient healthcare data classification through gazelle-inspired optimization and multimodal deep learning,10.1007/s10115-025-02424-3,na,na,na,na,na,na,na,na,na,na,India,no statement,no statement,na,not a clinical prediction model study
stroke,Brain stroke prediction model based on boosting and stacking ensemble approach,10.1007/s41870-023-01418-0,yes,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,Further extension of this work is open to incorporating the feature selection method to extract more influential factors related to stroke and reach more accurate performance results of this deployed model.,The article says the data comes from prestigious healthcare organizations and institutions like AIMS and WHO
stroke,Enhancing stroke disease classification through machine learning models via a novel voting system by feature selection techniques,10.1371/journal.pone.0312914,no,no,no,no,no,no,no,no,yes,development,China,no statement,no statement,Made recommendations that the model could improve practice and be integrated into clinical workflows,article is retracted
stroke,Stroke Disease Detection and Prediction Using Robust Learning Approaches,10.1155/2021/7633381,no,no,no,yes,no,no,no,no,no,development,Bangladesh,no statement,no statement,"In exchange for just providing some basic information, the machine learning architecture may help the general public in determining the likelihood of a stroke occurring in an adult patient. In an ideal world, it would help patients obtain early treatment for strokes and rebuild their lives after the event.",na
stroke,Brain stroke detection using machine learning,10.1063/5.0241582,na,na,na,na,na,na,na,na,na,na,na,na,na,na,article is a conference paper
stroke,COMPUTATIONAL HEALTH CARE ANALYSIS USING HADOOP – STROKE PREDICTION ,na,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,"Also, on the professional front, our analysis could provide better insights in getting a step further towards personalised treatment for Stroke and related heart diseases.",na
stroke,A Hybrid Deep Learning Approach for Improved Detection and Prediction of Brain Stroke,10.3390/app15094639,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,na,article says the data comes from github but references the kaggle website
