"","type","title","doi","practical_use","other_comments"
"13","stroke","Privacy-enhanced heart stroke detection using Federated Learning and Homomorphic Encryption","10.1016/j.smhl.2025.100594","The implications of these findings are highly relevant for real-world healthcare systems. By facilitating early and accurate heart stroke detection, this approach has the potential to support timely clinical decisions and reduce stroke-related mortality.","uses the stroke prediction dataset but the main outcome is heart stroke which is not the outcome of the dataset"
"14","stroke","Detection of Stroke (Cerebrovascular Accident) Using Machine Learning Methods","10.17798/bitlisfen.1539189","Efforts should be made to integrate these predictive models into clinical decision support systems to assist healthcare professionals in early stroke detection and management. Providing user-friendly interfaces and decision aids will enhance the practical utility of these models.",""
"15","stroke","Stroke Prediction Using Machine Learning","na","The stroke prediction model was deployed on a Shiny app to enhance accessibility and usability. Utilizing Shiny, a R package, an interactive web application was created directly from R scripts. This interactive platform is a tangible outcome of the research, bringing the benefits of predictive analytics directly to end-users and reinforcing the potential impact of data science in the healthcare domain.","A shiny app was developed and this model may have been used in practice"
"16","stroke","AN ANALYSIS OF BRAIN STROKE PREDICTION USING MACHINE LEARNING","na","Thus, the Brain Stroke Prediction system has been implemented using the given 5 Machine Learning algorithm given a highest accuracy of 98.56%. The system is therefore designed providing simple yet efficient User Interface design with an empathetic approach towards their users and patients. The system has a potential for future scope which could lead to better results a better user experience. This will help the user to save their valuable time and will help them to take appropriate measures based on the results provided.","Error in reporting the authors mentione 73% training dataset and 37% testing dataset which is 110%. May or may not be a clinical prediction model study"
"17","stroke","Unlocking stroke prediction: Harnessing projection-based statistical feature extraction with ML algorithms","10.1016/j.heliyon.2024.e27411 ","In order to implement the trained random forest classification model, a web application and flask application are developed. An application to facilitate efficient and rapid detection of this disease for healthcare professionals will be developed in the area of further research.","Article mentions that a web based prediction tool was developed and implemented"
"18","stroke","Logistic Regression for Stroke Prediction: An Evaluation of its Accuracy and Validity ","na","These findings suggest that this approach may be useful in identifying individuals at high risk for stroke, and could potentially be used in clinical settings to guide preventative measures.","Problematic issues like changing data without logical reason. ""from unkown"" to ""never_smoked"", as it is unlikely that these individuals have smoked""."
"19","stroke","Optimizing Accuracy of Stroke Prediction Using Logistic Regression","10.37802/joti.v4i2.278","Results indicate that, in comparison to the other five LR based model, our model can be a useful tool for predicting the occurrence of stroke with the accuracy of 0.86 percent, an AUC of 0.93 percent and an F-measure of 0.87 percent, the model can distinguish itself from other models and outperforms the other methods.","na"
"20","stroke","Enhanced Stroke Risk Prediction: A Fusion of Machine Learning Models for Improved Healthcare Strategies","10.1007/s42979-024-03389-w","XAI makes these complicated models interpretable, helping medical professionals and patients understand the decision-making process and follow personalized healthcare recommendations.","article mentioned that the dataset comes from clinics in bangladesh"
"21","stroke","Navigating Heart Stroke Terrain: A Cutting-Edge Feed-Forward Neural Network Expedition","10.47738/jads.v6i3.763","Collaboration with healthcare professionals to integrate the FFN model into clinical practice for real-time patient risk assessment is crucial. Developing a user-friendly interface for healthcare providers to easily access and interpret model predictions is essential for practical implementation.","na"
"22","stroke","Stroke prediction based on improved machine learning algorithm","10.1117/12.2659156","For the method of manual data input, users can manually input gender, age, heart disease, married history, type of work, type of residence, average blood glucose level, BMI, smoking status, and adjust the new features constructed in this study.","Article appears to have made a web based application for the prediction model"
"23","stroke","Stroke risk prediction using multiple machine learning algorithms","10.1117/12.2673750","This machine learning model has excellent clinical potential to function as a more reliable assessment in the future by adding global multicenter data. It has superior clinical potential as a more reliable diagnostic tool to enhance stroke prediction.","na"
"24","stroke","Predicting stroke risk: An effective stroke prediction model based on neural networks","10.1016/j.jnrt.2024.100156","The usage of these models in actual clinical settings could also be studied, with an emphasis on creating approachable tools and user interfaces for the prospective adoption of machine learning in stroke prediction.","The article identifies the outcome as a heart stroke not a brain stroke"
"25","stroke","A Hybrid Machine Learning Approach to Predict the Risk of Having Stroke","10.1145/3542954.3543020","The essential intent of this research was to develop the flow work with an inventive and novel method of building the model and to make the model valuable and effectively implementable in viable settings.","na"
"26","stroke","Comparative Evaluation of Machine Learning Models for Stroke Prediction in Clinical Settings","10.37256/ccds.6220256976","The study underscores the importance of AI in early stroke detection, offering a reliable and interpretable framework for clinical applications. By leveraging ensemble learning and robust preprocessing techniques, this work contributes to improved diagnostic accuracy, potentially reducing stroke-related morbidity and mortality.","The article does note that the data is not from a peer-reviewed clinical study or government registry and there is a lack of documentation, that it is potentially synthetic or anonymized. Yet talks of practical implications and the potential scope to implement into stroke risk monitoring"
"27","stroke","Fusing Attention and Convolution: A Hybrid Model for Brain Stroke Prediction","10.4108/eetsis.7022","Plans include adding more complete patient data and refining the model to achieve even higher precision, which should result in better approaches to stroke treatment and prevention.","na"
"28","stroke","A Web-Based Interface That Leverages Machine Learning to Assess an Individual’s Vulnerability to Brain Stroke","10.1109/ACCESS.2025.3566093","In conclusion, this research has successfully developed and tested a fully operational web-based interface designed to assess an individual’s risk of brain stroke, a leading global health concern.","The article has developed a clinical prediction model that is available to be used online https://strokedetection.streamlit.app/"
"29","stroke","Brain stroke prediction model based on boosting and stacking ensemble approach","10.1007/s41870-023-01418-0","Further extension of this work is open to incorporating the feature selection method to extract more influential factors related to stroke and reach more accurate performance results of this deployed model.","The article says the data comes from prestigious healthcare organizations and institutions like AIMS and WHO"
"30","stroke","Stroke Disease Detection and Prediction Using Robust Learning Approaches","10.1155/2021/7633381","In exchange for just providing some basic information, the machine learning architecture may help the general public in determining the likelihood of a stroke occurring in an adult patient. In an ideal world, it would help patients obtain early treatment for strokes and rebuild their lives after the event.","na"
"31","stroke","COMPUTATIONAL HEALTH CARE ANALYSIS USING HADOOP – STROKE PREDICTION ","na","Also, on the professional front, our analysis could provide better insights in getting a step further towards personalised treatment for Stroke and related heart diseases.","na"
"32","stroke","Prediction of Stroke Disease Using Deep CNN Based Approach","10.12720/jait.13.6.604-613","We can use this model to diagnose a patient to determine the possibility of getting a stroke at an early stage.","na"
"33","stroke","An Interpretable Approach with Explainable AI for Heart Stroke Prediction","10.3390/diagnostics14020128","Collectively, these techniques contribute to robust, reliable, and more practical machine learning models suitable for real-world applications. The healthcare system may see less strain and better patient outcomes as a result of this in the long run.","Article uses cardiac stroke as the outcome not brain strokes"
"34","stroke","A hybrid system to predict brain stroke using a combined feature selection and classifier","10.1016/j.imed.2023.06.002","The user interface aided in the prediction of brain stroke risk, informing the use of early intervention techniques.","Article explains that a user interface was developed to provide risk predictions of stroke"
"35","stroke","Revolutionizing heart attack prognosis: Introducing an innovative regression model for prediction","10.1016/j.imu.2025.101664","Healthcare professionals – can utilize predictive models to identify high-risk patients early, supporting preventive care and improved outcomes. • Clinical researchers and data scientists – may adapt the modeling pipeline for various medical prediction tasks, enhancing methodological rigor. Hospital administrators and policymakers – can apply these findings to optimize resource allocation, risk stratification, and health policy planning. • Patients and caregivers – stand to benefit from early detection and personalized care through AI-enhanced tools integrated into electronic health systems or wearable technologies. Educators and academic institutions – may use this work as a case study for training in health informatics, machine learning, and applied data science.","Article is predicting heart attacks as the outcome but has used the stroke prediction dataset"
"36","stroke","An Ensemble Machine Learning and Data Mining Approach to Enhance Stroke Prediction","10.3390/bioengineering11070672","This balance between high performance and interpretability is crucial for the adoption of these models in clinical settings.","na"
"37","stroke","Intelligent Stroke Disease Prediction Model Using Deep Learning Approaches","10.1155/2024/4523388","The test results show that the designed stroke prediction model has high application value, which can assist doctors in assessing and predicting stroke conditions and provide an objective basis for medical decisions.","na"
"38","stroke","Web Design for Stroke Early Detection Using Decision Tree C5.0"," 10.33751/komputasi.v20i2.8265","Thus, the model is applied to web applications to predict the risk of stroke.","there is an active website for the prediction of stroke from this article ""https://rezaummamnor.github.io/StrokePredictionRezaUmmam/"""
"39","stroke","A machine learning approach for predictings stroke","10.53388/MDM202407015","Additionally, the study’s validation process relied exclusively on internal validation through training and test splits. To ensure the model’s robustness and generalizability in real-world clinical practice, external validation is imperative. Ongoing efforts include deploying the prediction model in a local heart clinic to validate its performance in clinical settings.","Article mentioned will continue to validate the model in a clinical setting on real patients"
"40","stroke","Explainable and Interpretable Model for the Early Detection of Brain Stroke Using Optimized Boosting Algorithms","10.3390/diagnostics14222514"," The proposed method using random sampling, extensive feature analysis, and explainable AI offers significant potential for clinical applications. The proposed random sampling approach ensures that the model can identify stroke and non-stroke cases appropriately. The exhaustive feature analysis helps medical professionals to prioritize risk factors. Most importantly, the integration of LIME and SHAP ensures that the model’s predictions are transparent and interpretable. The explainability provided by LIME and SHAP assists healthcare providers in making informed decisions based on individual patient risk profiles. Integrating the model into real-time clinical decision support systems would allow healthcare professionals to use the model’s predictions alongside traditional diagnostic tools, ultimately leading to more informed and timely interventions.","na"
"41","stroke","Predictive modelling and identification of key risk factors for stroke using machine learning","10.1038/s41598-024-61665-4","By conducting external validation studies on these diverse and independent datasets, the authors aim to evaluate and validate the performance of the proposed DSE model. The proposed DSE model can integrate seamlessly into daily life using mobile or web applications, allowing the users to input health data effortlessly. With swift processing and prediction time the results can be relayed promptly. This integration will help in making prompt healthcare intervention in cases of predicted stroke risk.","Article says the dataset comes from McKinsey & Company EHR and is pre-processed with only 30% being publically available. Article also mentions the authors aim to externally validate the model"
"42","stroke","SPE: Ensemble Hybrid Machine Learning Model for Efficient Diagnosis of Brain Stroke towards Clinical Decision Support System (CDSS) ","na","Thus the ensemble model can be used for efficient brain stroke diagnosis as part of Clinical Decision Support System (CDSS). ","na"
"43","stroke","Pre-Diagnosing the Stroke Using Artificial Neural Network ","10.14704/nq.2022.20.10.NQ55093","Doctors can plan ahead by pre-diagnosing a stroke. In addition to providing patients with better medicines.","na"
"44","stroke","Unveiling the potential of machine learning approaches in predicting the emergence of stroke at its onset: a predicting framework","10.1038/s41598-024-70354-1","With the help of machine learning architecture, the public may be able to calculate their risk of developing a stroke in adult patients for the price of providing some basic information. As a result, patients would be able to receive early stroke treatment and recover in a timely manner.","na"
"45","stroke","Comparison of Machine Learning and Deep Learning Techniques for Stroke Prediction","10.29137/umagd.1432162","Based on this information, experts can make more accurate and faster diagnoses and improve treatment planning. Educational programs should focus on how these models can be integrated, interpreted, and incorporated into patient care processes in clinical environments.","article mainly was comparing different methods of modelling for stroke but did have practical recommendations"
"46","stroke","BrainOK: Brain Stroke Prediction using Machine Learning","na","Thus, the Brain Stroke Prediction system has been implemented using the given 5 Machine Learning algorithm given a highest accuracy of 98.56%. The system is therefore designed providing simple yet efficient User Interface design with an empathetic approach towards their users and patients.","The article produced a web application for the prediction of stroke but can not determine if it is publically available"
"47","stroke","Machine Learning Prediction of Brain Stroke at an Early Stage","10.24996/ijs.2023.64.12.39","Furthermore, our model might predict the probability of stroke based on comprehensive data, reducing expenditures. This model can also aid decision-making by reducing overcrowding, improving resource use, and reducing wasteful labor expenditures.","na"
"48","stroke","Health Seek: A Deep Learning-Based Intelligent System to Aid Medical Diagnosis","10.4236/jbise.2022.151007","As a use case, one of these models has been successfully tested in diagnosing stroke events.","The article makes an app that has been used in practice"
"49","stroke","A new stroke prediction model combined algorithm based on artificial neural networks and logistic regression","10.1117/12.2656802","In the future, it is hoped that the model can be applied to predict not only stroke but also other diseases.","na"
"50","stroke","Prediction of Stroke Disease with Demographic and Behavioural Data Using Random Forest Algorithm","10.3390/analytics2030034","In practise, our study is useful to medical practitioners for predicting stroke incidence at an early stage. Also, we demonstrated a workflow that is useful for hospitals to implement as an automated system for early-stage stroke incidence prediction.","Article says the data comes from hospitals in Bangladesh from a team of researchers for academic purposes"
"51","stroke","Enhancing Stroke Prediction Using LightGBM With SMOTE-ENN and Fine-Tuning: A Comprehensive Analysis","10.7759/s44389-02402268-y","Finally, integrating real-time processing of data and embedding these models into clinical decision support systems could enable actionable insights at the point of care.","Says the dataset comes from a medical research project"
"52","stroke","A Robust Methodology for Stroke Disease Prediction using a Hard Voting Classifier","10.48084/etasr.10292","By advancing scalable, interpretable, and data-driven stroke prediction models, this research paves the way for early intervention strategies, ultimately reducing stroke mortality and improving global healthcare outcomes. In future work, the integration of realworld clinical data, real-time edge AI applications, and explainable decision-making frameworks will empower healthcare providers to make proactive, data-driven interventions.","na"
"53","stroke","Detecting Stroke in Human Beings Using Machine Learning","10.54941/ahfe1003460","This will help to prevent stroke as early as possible instead of managing the patients. We wish scientists can furthermore develop it, so that it can be applied in real world to save precious human-lives.","Authors state that they have collected various data of people including patients affected by stroke. The dataset has 28524 people without stroke, much larger than other articles and the dataset accessible"
"54","stroke","Detecting Brain Stroke Using Enhanced Ensemble Models in Data-Driven Healthcare Systems for the Future Factories","10.7759/s44389-025-06211-7","In the context of future factories, such models can improve worker safety through real-time health monitoring and early intervention. Implementing these predictive systems will improve operational efficiency and health outcomes, making future factories smarter and safer.","na"
"55","stroke","Analyzing the Performance of Stroke Prediction using ML Classification Algorithms","10.14569/IJACSA.2021.0120662","The web page is built using simple HTML code. This application has an input form that will take the entered input values from the user to predict the occurrence of stroke.","Article has a practical user interface for the prediction of stroke"
"56","stroke","Multiple Explainable Approaches to Predict the Risk of Stroke Using Artificial Intelligence","10.3390/info14080435","Medical professionals can use the classifiers as a decision support system for the prediction of stroke. Real-time stroke screening might be implemented using a user interface, and this framework could be expanded to forecast stroke in a broader population.","na"
"57","stroke","Genetic Folding (GF) Algorithm with Minimal Kernel Operators to Predict Stroke Patients","10.1080/08839514.2022.2151179","The findings are promising for lifecritical applications like stroke detection and mitigation.","Article where they explain the data, could be considered they talk about WHO to give authenticity to the data."
"58","stroke","Risk factor identification for stroke prognosis using machine-learning algorithms","10.5455/jjcit.71-1652725746","Therefore, healthcare providers can use these classifiers that are the most suited for predicting stroke based on the medical history of a patient in the real world.","na"
"59","stroke","Machine Learning Approaches in Medical Data Processing: A Proposal for an Intelligent Stroke Diagnosis System","10.62520/fujece.1694558","Furthermore, the practicality and generalizability of these models in clinical applications are tested on real-world data to provide a new perspective to the literature.","Introduction states the models tested on real-world data provides new perspectives"
"60","stroke","Optimization of Machine Learning Algorithms with Bagging and AdaBoost Methods for Stroke Disease Prediction","na","Future research is expected to deploy the model so that it can be applied to predict new data so that it can help health professionals in predicting early stroke disease.","na"
"61","stroke","A comparative analysis of machine learning classifiers for stroke prediction: A predictive analytics approach","10.1016/j.health.2022.100116","In addition, a user-friendly web page and mobile app are developed for better representation of results.","Article has created a web and mobile application for predicting stroke. Article also mentions the dataset contains 43,400 rows of data"
"62","stroke","An Improved Concatenation of Deep Learning Models for Predicting and Interpreting Ischemic Stroke","10.1109/ACCESS.2024.3386220","We can propel stroke prediction and management to new heights through ongoing innovation and collaboration, ultimately improving healthcare delivery and patient outcomes.","na"
"63","stroke","A Predictive Model of Stroke Diseases using Machine Learning Techniques","10.35940/ijrte.A6900.0511122","A survey was distributed to collect new dataset as an application for prediction of stroke disease. The prediction will be applied for the created models from the three classification techniques that can be used by health care professionals to predict stroke disease and give better treatment plan.","Article suggests a model was developed for use in clinical practice"
"64","stroke","Effective Stroke Prediction using Machine Learning Algorithms ","10.34104/ajeit.024.026036","The developed model using Random Forest can be used as a decision-making model in the medical sector for the prediction of stroke.","na"
"65","stroke","Comparison of Classification Algorithm in Predicting Stroke Disease","10.34012/jurnalsisteminformasidanilmukomputer.v6i1.2714","This algorithm is suitable for use with pipelines to make real-time predictions.","na"
"66","stroke","Stroke Prediction","10.17265/2159-5275/2021.06.004 ","Using data to assess a person’s risk of having a stroke may help assist doctors in identifying people who are at high risk and give them appropriate advice and treatment.","na"
"67","stroke","Enhanced stroke prediction using stacking methodology (ESPESM) in intelligent sensors for aiding preemptive clinical diagnosis of brain stroke","10.1016/j.measen.2024.101108","With the advent of wearable devices, electronic health records, and real-time monitoring systems, there is an opportunity to incorporate continuous monitoring data and dynamic features into the predictive models. This can enhance the timeliness and accuracy of stroke prediction, enabling more proactive interventions and personalized care.","na"
"68","stroke","A novel adaptive weight bi-directional long short-term memory (AWBi-LSTM) classifier model for heart stroke risk level prediction in IoT","10.7717/peerj-cs.2196","Early identification allows individuals to promptly obtain stroke treatment and then reconstruct their lives after the incident.","na"
"69","stroke","The CLASSIFICATION OF STROKE PREDICTION USING THE SUPPORT VECTOR MACHINE (SVM) METHOD","10.35957/jatisi.v11i3.8044","It is recommended that further research combine it with other methods, explore a wide range of data, and improve the website system into an application to provide a more varied display and more optimal results.","article created a web based application for predicting strokes"
"70","stroke","RDET stacking classifier: a novel machine learning based approach for stroke prediction using imbalance data","10.7717/peerj-cs.1684","The results of this study help clinicians identify brain strokes early and effectively.","na"
"71","diabetes","Stacking with Recursive Feature Elimination-Isolation Forest for classification of diabetes mellitus","10.1371/journal.pone.0302595","This study envisions SRFEI becoming a high-performing solution for various practical applications in diabetes.","The study also used another dataset the PIMA Indians diabetes dataset. The diabetes dataset was not the primary dataset used."
"72","diabetes","Towards a Stacking Ensemble Model for Predicting Diabetes Mellitus using Combination of Machine Learning Techniques","na","As recommendations, our stacking model can be applied in a diagnostic application for diabetes mellitus; in addition, it can be tested on a new huge and diverse dataset to obtain more accurate results. Moreover, we can use deep-learning models to generate new patterns that help us diagnose DM robustly, which also can happen with different types of diabetes, such as type 1 and type 2 diabetes and gestational diabetes.","The study used another dataset the PIMA indians dataset as the primary dataset and validated the model on the diabetes prediction dataset"
"73","diabetes","Integrated bagging-RF learning model for diabetes diagnosis in middle-aged and elderly population","10.7717/peerj-cs.2436","The results of this study will not only help individuals receive the necessary medical interventions in a timely manner to reduce the incidence of diabetes mellitus and its complications, but will also have a significant impact on the health and quality of life of the entire middle-aged and elderly population.","na"
"74","diabetes","Performance Evaluation of Supervised Machine Learning Classifiers for Type 2 Diabetes Mellitus Prediction","10.34248/bsengineering.1618267","The study suggests that ML-based classifiers offer a reliable approach for accurately predicting T2DM and supporting medical professionals in clinical decision-making.","This article specifically was looking at developing a prediction model for type 2 diabetes"
"75","diabetes","Enhancing Healthcare: Machine Learning for Diabetes Prediction and Retinopathy Risk Evaluation","10.14569/IJACSA.2024.0150703","This research provides a scalable and effective tool for diabetes and retinopathy risk evaluation, contributing significantly to the field by offering broader practical implications for healthcare providers. Thus, this study proposes an automatic diabetes prediction system that can be deployed on a website and an Android smartphone application using the XGBoost machine learning framework.","In the conclusions the authors talk as if a website has been produced for the prediction model but has not reference to a website and is unclear if it has been used in practice."
"76","diabetes","Effective Diabetes Prediction using an IoT-based Integrated Ensemble Machine Learning Framework","10.48084/etasr.8869","ML algorithms can provide real-time feedback and decision support to patients and healthcare providers, helping them make informed decisions about insulin dosages, diet, exercise, and medication adjustments.","na"
"77","diabetes","Prediction of diabetes using hybrid support vector machines with Artificial Bee Colony","10.1007/s13410-025-01478-x","A prospective study in real-world clinical settings is essential to assess its role in identifying at-risk patients, guiding treatment decisions, and reducing misdiagnoses. Additionally, evaluating the model’s performance alongside existing clinical tools will provide valuable insights into its potential for integration into current healthcare workflows, ensuring its practical application in enhancing patient outcome.","This study did develop a clinical prediction model but used the dataset as validation dataset."
"78","diabetes","Hi-Le and HiTCLe: Ensemble Learning Approaches for Early Diabetes Detection Using Deep Learning and Explainable Artificial Intelligence","10.1109/ACCESS.2024.3398198","Our study advances the state-of-the-art in diabetes prediction by introducing these novel methodologies and demonstrating their superior performance. Also by providing insightful information and practical solutions for enhancing healthcare outcomes.","na"
"79","diabetes","A Machine Learning-Based Prediction Study for Type 2 Diabetic Mellitus","10.61173/zr192s24","In conclusion, the logistic regression model has a strong overall prediction ability, which can effectively and accurately achieve T2DM prediction and early screening, so that the risk population can receive early prevention and treatment, so as to reduce the incidence of diabetes. In addition, more targeted personalized treatment programs can be developed to reduce unnecessary medical costs and ultimately achieve accurate treatment of T2DM.","The study specifically looked predicting type 2 diabetes"
"80","diabetes","Formulation of a Multi-Disease Comorbidity Prediction Framework: A Data-Driven Case Analysis on of Diabetes, Hypertension, and Cardiovascular Risk Trajectories","10.32996/jcsts.2023.5.3.12","On the whole, the designed framework has shown the potential to serve as a clinical decision support tool, particularly in the setting of resource-limited facilities, wishing to integrate scalable and explainable solutions.","na"
"81","diabetes","Leveraging Data Mining Techniques for Presymptomatic Diabetes Likelihood Prediction","na","Through its early detection capabilities, PreDiX can open the door to tailored preventative measures, such as changes to one's lifestyle, which can help reduce the risk of hyperglycemia and its complications. Because of this, PreDiX may help healthcare systems by lowering the demand for intensive medical treatments.","na"
"82","diabetes","Integrated Ensemble Model for Diabetes Mellitus Detection","10.14569/IJACSA.2024.0150423","As a recommendation, our stacking model holds potential for deployment in diagnostic applications for diabetes mellitus.","na"
"83","diabetes","Prediction of Type-II Diabetic through Blockchain Technology","10.17485/IJST/v18i15.3423","From the above work it is concluded that the present work is related to the application of blockchain technology in revolutionizing diabetes prediction.","article was directly predicting type 2 diabetes"
"84","diabetes","Development of Diabetes Diagnosis Tool Using Machine Learning","10.30880/eeee.2024.05.01.001","In conclusion, this work successfully achieved its objectives of diabetes prediction using machine learning techniques, developing a graphical user interface simulation, and evaluating the prediction model based on accuracy. The work contributes to the field of healthcare by providing a reliable and user- friendly tool for early diabetes detection, potentially leading to improved patient care and management.","An windowed interface was produced for users to get predictions"
"85","diabetes","A predictive machine learning framework for diabetes","10.31127/tuje.1434305","The model is intended to aid medical practitioners in the diagnostic process of diabetes.","na"
"86","diabetes","Data to Diagnosis: Evaluating Machine Learning Algorithms for Predictive Healthcare in Diabetes","10.21015/vtse.v13i3.2141","These algorithms can serve as helpful decision aids to support healthcare workers in the early detection of diabetes, particularly in resource-limited settings. For example, by incorporating predictive models into electronic health record (EHR) systems, warnings might be triggered when a patient’s demographic and clinical information indicate an increased risk of diabetes.","Ethics mentioned that informed conset was obtained from all individual participants in the study."
