"","doi"
"95","https://doi.org/10.1109/rmkmate59243.2023.10368945"
"96","https://doi.org/10.1109/ictacs59847.2023.10389941"
"97","https://doi.org/10.1109/nelex59773.2023.10421131"
"98","https://doi.org/10.1109/dasa54658.2022.9765263"
"99","https://doi.org/10.1038/s41598-022-26595-z"
"100","https://doi.org/10.1109/icemis56295.2022.9914334"
"101","https://doi.org/10.1109/icrito56286.2022.9965081"
"102","https://doi.org/10.1109/iatmsi56455.2022.10119373"
"103","https://doi.org/10.1109/iatmsi56455.2022.10119295"
"104","https://doi.org/10.1007/978-981-99-8479-4_14"
"105","https://doi.org/10.1016/j.jns.2024.122928"
"106","https://doi.org/10.18421/tem131-74"
"107","https://doi.org/10.1016/j.ejmp.2024.103359"
"108","https://doi.org/10.1109/icict60155.2024.10544969"
"109","https://doi.org/10.2139/ssrn.4854167"
"110","https://doi.org/10.1109/icaaic60222.2024.10574944"
"111","https://doi.org/10.1109/wids-psu61003.2024.00031"
"112","https://doi.org/10.12998/wjcc.v12.i27.6032"
"113","https://doi.org/10.52783/cana.v31.1203"
"114","https://doi.org/10.1109/icipcn63822.2024.00029"
"115","https://doi.org/10.1002/9781394272587.ch12"
"116","https://doi.org/10.1016/b978-0-443-22038-8.00018-0"
"117","https://doi.org/10.1109/acet61898.2024.10730596"
"118","https://doi.org/10.48175/ijarsct-22151"
"119","https://doi.org/10.1186/s12911-024-02766-y"
"120","https://doi.org/10.1109/hite63532.2024.10777174"
"121","https://doi.org/10.21015/vtse.v12i4.1932"
"122","https://doi.org/10.56294/dm2024.548"
"123","https://doi.org/10.1109/incowoco64194.2024.10863346"
"124","https://doi.org/10.1145/3708657.3708765"
"125","https://doi.org/10.1109/iccmc53470.2022.9754110"
"126","https://doi.org/10.1007/978-3-031-21385-4_19"
"127","https://doi.org/10.1109/delcon57910.2023.10127366"
"128","https://doi.org/10.1007/978-981-99-2100-3_21"
"129","https://doi.org/10.22214/ijraset.2023.54857"
"130","https://doi.org/10.1007/978-981-99-5881-8_23"
"131","https://doi.org/10.1109/icaeeci58247.2023.10370938"
"132","https://doi.org/10.1109/ic3i59117.2023.10398094"
"133","https://doi.org/10.1109/icccis60361.2023.10425097"
"134","https://doi.org/10.21203/rs.3.rs-1920639/v1"
"135","https://doi.org/10.1007/978-981-19-6068-0_28"
"136","https://doi.org/10.37648/ijrst.v11i04.004"
"137","https://doi.org/10.1007/s00521-024-10437-2"
"138","https://doi.org/10.1016/j.asoc.2024.111491"
"139","https://doi.org/10.1186/s12911-025-02894-z"
"140","https://doi.org/10.1038/s41598-025-93505-4"
"141","https://doi.org/10.3390/electronics13061025"
"142","https://doi.org/10.1007/s13748-024-00357-6"
"143","https://doi.org/10.3389/fmed.2024.1407376"
"144","https://doi.org/10.1016/j.compag.2024.109348"
"145","https://doi.org/10.20944/preprints202403.0134.v1"
"146","https://doi.org/10.3390/diagnostics14222514"
"147","https://doi.org/10.1007/s41870-024-02016-4"
"148","https://doi.org/10.1007/978-3-031-82516-3_11"
"149","https://doi.org/10.1007/978-3-031-82516-3_6"
"150","https://doi.org/10.1007/978-981-97-9523-9_31"
"151","https://doi.org/10.1155/acis/7394597"
"152","https://doi.org/10.1007/s12652-025-04973-5"
"153","https://doi.org/10.1007/s12539-025-00709-3"
"154","https://doi.org/10.1016/j.procs.2025.03.326"
"155","https://doi.org/10.1007/s11042-025-20912-0"
"156","https://doi.org/10.3390/a18060333"
"157","https://doi.org/10.1007/978-981-97-9526-0_24"
"158","https://doi.org/10.1002/eng2.70213"
"159","https://doi.org/10.1109/otcon65728.2025.11071001"
"160","https://doi.org/10.1007/s11135-025-02315-3"
"161","https://doi.org/10.1038/s41598-025-18024-8"
"162","https://doi.org/10.3390/eng5010015"
"163","https://doi.org/10.1101/2024.02.28.24303495"
"164","https://doi.org/10.1109/access.2024.3496791"
"165","https://doi.org/10.1109/access.2024.3496907"
"166","https://doi.org/10.1016/j.ceh.2024.12.003"
"167","https://doi.org/10.1080/01605682.2024.2445760"
"168","https://doi.org/10.1038/s41598-024-61665-4"
"169","https://doi.org/10.1088/2631-8695/adad3a"
"170","https://doi.org/10.1177/09287329241308465"
"171","https://doi.org/10.1007/978-981-96-4756-9_1"
"172","https://doi.org/10.1002/hsr2.70062"
"173","https://doi.org/10.7717/peerj-cs.1684"
"174","https://doi.org/10.3390/app14135421"
"175","https://doi.org/10.48084/etasr.9031"
"176","https://doi.org/10.1007/s11042-025-20765-7"
"177","https://doi.org/10.1155/acis/7394597"
"178","https://doi.org/10.1007/s00521-025-11416-x"
"179","https://doi.org/10.1002/eng2.70213"
"180","https://doi.org/10.3390/jcm14145025"
"181","https://doi.org/10.1007/s10278-024-01280-x"
"182","https://doi.org/10.1109/icaccess61735.2024.10499584"
"183","https://doi.org/10.1007/s11042-024-19254-0"
"184","https://doi.org/10.1038/s41598-024-78353-y"
"185","https://doi.org/10.1109/ic2ie63342.2024.10748095"
"186","https://doi.org/10.1109/icict60155.2024.10544969"
"187","https://doi.org/10.1007/978-3-031-64813-7_31"
"188","https://doi.org/10.1109/icipcn63822.2024.00029"
"189","https://doi.org/10.1145/3708657.3708765"
"190","https://doi.org/10.1109/iccit64611.2024.11022182"
"191","https://doi.org/10.4108/eetiot.5384"
"192","https://doi.org/10.3390/make7010004"
"193","https://doi.org/10.1007/s41870-023-01688-8"
"194","https://doi.org/10.3390/s25061739"
"195","https://doi.org/10.1016/j.matcom.2025.03.025"
"196","https://doi.org/10.48084/etasr.7020"
"197","https://doi.org/10.1007/s41870-023-01630-y"
"198","https://doi.org/10.3390/diagnostics14222514"
"199","https://doi.org/10.1007/s41870-024-01757-6"
"200","https://doi.org/10.1007/s42979-024-03389-w"
"201","https://doi.org/10.1007/s41870-023-01607-x"
"202","https://doi.org/10.1007/978-3-031-77075-3_6"
"203","https://doi.org/10.48084/etasr.9736"
"204","https://doi.org/10.1080/10255842.2025.2510368"
"205","https://doi.org/10.1101/2025.06.05.657994"
"206","https://doi.org/10.1002/eng2.70213"
"207","https://doi.org/10.1177/18724981251360377"
"208","https://doi.org/10.1109/raeeucci61380.2024.10547987"
"209","https://doi.org/10.23919/indiacom61295.2024.10498263"
"210","https://doi.org/10.1109/iccds60734.2024.10560429"
"211","https://doi.org/10.1109/iceect61758.2024.10739284"
"212","https://doi.org/10.1007/s41870-023-01577-0"
"213","https://doi.org/10.1109/icipcn63822.2024.00029"
"214","https://doi.org/10.1016/j.jneumeth.2024.110210"
"215","https://doi.org/10.1007/s11227-025-06924-5"
"216","https://doi.org/10.3390/life15030390"
"217","https://doi.org/10.1108/bpmj-07-2024-0622"
"218","https://doi.org/10.1007/s43926-025-00101-z"
"219","https://doi.org/10.1016/j.compag.2025.110563"
"220","https://doi.org/10.3390/jcm14124026"
"221","https://doi.org/10.1109/incip64058.2025.11019658"
"222","https://doi.org/10.3390/math13121927"
"223","https://doi.org/10.1186/s12903-025-06408-1"
"224","https://doi.org/10.1016/j.jclepro.2025.146111"
"225","https://doi.org/10.56741/iistr.esl.00936"
"226","https://doi.org/10.2174/0118750362387304250716055022"
"227","https://doi.org/10.1109/icc-robins64345.2025.11086346"
"228","https://doi.org/10.1080/17582024.2025.2554531"
"229","https://doi.org/10.1007/s11761-024-00415-w"
"230","https://doi.org/10.3389/fncom.2024.1425008"
"231","https://doi.org/10.1109/ic2pct60090.2024.10486536"
"232","https://doi.org/10.1177/14604582241255584"
"233","https://doi.org/10.1117/12.3012948"
"234","https://doi.org/10.4108/eetsis.7022"
"235","https://doi.org/10.2174/0118749445342057241105062547"
"236","https://doi.org/10.1016/j.clineuro.2024.108689"
"237","https://doi.org/10.1186/s12911-025-02894-z"
"238","https://doi.org/10.2147/ndt.s499083"
"239","https://doi.org/10.3844/jcssp.2025.124.133"
"240","https://doi.org/10.21203/rs.3.rs-6416394/v1"
"241","https://doi.org/10.2139/ssrn.5256190"
"242","https://doi.org/10.1016/j.bspc.2025.108266"
"243","https://doi.org/10.1109/icicv64824.2025.11085894"
"244","https://doi.org/10.34256/ijcci2514"
"245","https://doi.org/10.1038/s41598-025-15332-x"
"246","https://doi.org/10.1016/j.eswa.2025.129004"
"247","https://doi.org/10.3389/fneur.2025.1615523"
"248","https://doi.org/10.1080/23279095.2025.2516259"
"249","https://doi.org/10.62520/fujece.1694558"
"250","https://doi.org/10.1109/access.2024.3433513"
"251","https://doi.org/10.1016/j.jneumeth.2024.110210"
"252","https://doi.org/10.3390/s25061739"
"253","https://doi.org/10.3390/app15094639"
"254","https://doi.org/10.1016/j.imed.2023.06.002"
"255","https://doi.org/10.1109/access.2024.3383140"
"256","https://doi.org/10.1109/access.2024.3406748"
"257","https://doi.org/10.1007/s11042-025-20765-7"
"258","https://doi.org/10.1016/j.neuri.2025.100215"
"259","https://doi.org/10.1016/j.bspc.2025.108266"
"260","https://doi.org/10.1007/978-981-96-5729-2_33"
"261","https://doi.org/10.1109/access65134.2025.11135533"
"262","https://doi.org/10.3390/app14188430"
"263","https://doi.org/10.12720/jait.15.6.764-783"
"264","https://doi.org/10.1016/j.health.2024.100374"
"265","https://doi.org/10.23939/cds2024.01.017"
"266","https://doi.org/10.1007/978-3-031-59131-0_13"
"267","https://doi.org/10.1109/ic3se62002.2024.10593413"
"268","https://doi.org/10.18280/ria.380419"
"269","https://doi.org/10.62754/joe.v3i5.3876"
"270","https://doi.org/10.12720/jait.15.5.565-571"
"271","https://doi.org/10.1145/3631908.3631919"
"272","https://doi.org/10.1145/3641584.3641796"
"273","https://doi.org/10.12720/jait.15.3.407-413"
"274","https://doi.org/10.3233/jifs-236354"
"275","https://doi.org/10.14569/ijacsa.2024.01507128"
"276","https://doi.org/10.1145/3686540.3686551"
"277","https://doi.org/10.22214/ijraset.2023.54857"
"278","https://doi.org/10.21203/rs.3.rs-3347519/v1"
"279","https://doi.org/10.1109/icispc59567.2023.00018"
"280","https://doi.org/10.1109/icccis60361.2023.10425097"
"281","https://doi.org/10.1145/3633637.3633651"
"282","https://doi.org/10.3390/s25061739"
"283","https://doi.org/10.3390/app15094639"
"284","https://doi.org/10.47852/bonviewmedin42022470"
"285","https://doi.org/10.4018/979-8-3693-9445-8.ch019"
"286","https://doi.org/10.1002/eng2.70213"
"287","https://doi.org/10.1038/s41598-025-11263-9"
"288","https://doi.org/10.1109/iccds60734.2024.10560429"
"289","https://doi.org/10.4108/eetsis.7022"
"290","https://doi.org/10.3390/a17120571"
"291","https://doi.org/10.15575/join.v9i1.1307"
"292","https://doi.org/10.1109/icaaic60222.2024.10574944"
"293","https://doi.org/10.1007/978-3-031-64813-7_31"
"294","https://doi.org/10.1109/icipcn63822.2024.00029"
"295","https://doi.org/10.1016/j.health.2024.100368"
"296","https://doi.org/10.51889/2959-5894.2024.88.4.018"
"297","https://doi.org/10.1016/j.compbiomed.2025.109835"
"298","https://doi.org/10.1109/icoac59537.2023.10249246"
"299","https://doi.org/10.1007/s41870-024-01803-3"
"300","https://doi.org/10.1109/ickecs61492.2024.10616432"
"301","https://doi.org/10.1080/01969722.2025.2470786"
"302","https://doi.org/10.1016/j.eij.2025.100705"
"303","https://doi.org/10.3233/idt-240368"
"304","https://doi.org/10.1109/ic3iot60841.2024.10550229"
"305","https://doi.org/10.1109/ickecs61492.2024.10616955"
"306","https://doi.org/10.1109/incet57972.2023.10170201"
"307","https://doi.org/10.1007/s00354-022-00196-w"
"308","https://doi.org/10.1109/icc-robins60238.2024.10533990"
"309","https://doi.org/10.1109/ic3iot60841.2024.10550330"
"310","https://doi.org/10.1109/incet61516.2024.10593037"
"311","https://doi.org/10.1109/ickecs61492.2024.10617170"
"312","https://doi.org/10.1109/ickecs61492.2024.10616713"
"313","https://doi.org/10.1109/ickecs61492.2024.10616964"
"314","https://doi.org/10.1007/978-981-99-5994-5_18"
"315","https://doi.org/10.1007/s10462-025-11131-y"
"316","https://doi.org/10.3844/jcssp.2025.124.133"
"317","https://doi.org/10.3389/fcvm.2025.1579947"
"318","https://doi.org/10.5772/acrt.20250023"
"319","https://doi.org/10.1038/s41598-024-61665-4"
"320","https://doi.org/10.3390/electronics13040686"
"321","https://doi.org/10.1007/978-981-96-2468-3_71"
"322","https://doi.org/10.1016/j.eij.2025.100705"
"323","https://doi.org/10.1101/2025.06.05.657994"
"324","https://doi.org/10.1002/eng2.70213"
"325","https://doi.org/10.15575/join.v9i1.1249"
"326","https://doi.org/10.1109/icict60155.2024.10544969"
"327","https://doi.org/10.1002/hsr2.70062"
"328","https://doi.org/10.1007/978-981-96-4967-9_152"
"329","https://doi.org/10.1109/ginotech63460.2025.11076679"
"330","https://doi.org/10.3390/a17120571"
"331","https://doi.org/10.34288/jri.v6i4.344"
"332","https://doi.org/10.18421/tem131-74"
"333","https://doi.org/10.1007/978-981-97-5146-4_32"
"334","https://doi.org/10.1109/iccit64611.2024.11022182"
"335","https://doi.org/10.1002/hsr2.70062"
"336","https://doi.org/10.48084/etasr.10292"
"337","https://doi.org/10.1016/j.ijmedinf.2025.106041"
"338","https://doi.org/10.1109/iccit60459.2023.10440991"
"339","https://doi.org/10.15575/join.v9i1.1249"
"340","https://doi.org/10.18280/ria.380419"
"341","https://doi.org/10.55489/njcm.140620233026"
"342","https://doi.org/10.1109/pais60821.2023.10322003"
"343","https://doi.org/10.30812/matrik.v22i1.2365"
"344","https://doi.org/10.18421/tem131-74"
"345","https://doi.org/10.30865/mib.v8i3.7855"
"346","https://doi.org/10.30873/simada.v6i1.3429"
"347","https://doi.org/10.1002/ima.70094"
"348","https://doi.org/10.1109/icdt63985.2025.10986374"
"349","https://doi.org/10.1007/s11882-025-01207-8"
"350","https://doi.org/10.3390/math13010098"
"351","https://doi.org/10.1145/3706890.3706954"
"352","https://doi.org/10.7717/peerj-cs.2702"
"353","https://doi.org/10.1109/netcrypt65877.2025.11102758"
"354","https://doi.org/10.7717/peerj-cs.2060"
"355","https://doi.org/10.1109/icici65870.2025.11069808"
"356","https://doi.org/10.1007/978-981-96-3358-6_11"
"357","https://doi.org/10.1007/s13042-023-02048-5"
"358","https://doi.org/10.1007/s11042-025-20765-7"
"359","https://doi.org/10.22541/au.171618337.73099150/v1"
"360","https://doi.org/10.29130/dubited.1268348"
"361","https://doi.org/10.37058/innovatics.v5i2.8444"
"362","https://doi.org/10.34012/jurnalsisteminformasidanilmukomputer.v7i1.4083"
"363","https://doi.org/10.3390/diagnostics14020128"
"364","https://doi.org/10.1007/978-981-97-5146-4_32"
"365","https://doi.org/10.1109/icoeca62351.2024.00120"
"366","https://doi.org/10.1109/access.2024.3429157"
"367","https://doi.org/10.1007/s00146-023-01735-9"
"368","https://doi.org/10.14569/ijacsa.2023.01406115"
"369","https://doi.org/10.1016/j.cmpbup.2023.100098"
"370","https://doi.org/10.3390/a18020089"
"371","https://doi.org/10.1007/s44174-023-00078-9"
"372","https://doi.org/10.1016/j.ibmed.2023.100100"
"373","https://doi.org/10.1007/s11831-024-10098-3"
"374","https://doi.org/10.3390/s22228615"
"375","https://doi.org/10.1016/j.jpi.2023.100307"
"376","https://doi.org/10.1016/j.heliyon.2024.e29197"
"377","https://doi.org/10.3390/app15094639"
"378","https://doi.org/10.1016/j.health.2023.100290"
"379","https://doi.org/10.1016/j.compbiomed.2023.107289"
"380","https://doi.org/10.33640/2405-609x.3355"
"381","https://doi.org/10.1007/978-981-97-8074-7_7"
"382","https://doi.org/10.1016/j.health.2023.100292"
"383","https://doi.org/10.1002/eng2.12666"
"384","https://doi.org/10.1002/hsr2.70062"
"385","https://doi.org/10.1109/access.2024.3372082"
"386","https://doi.org/10.1007/s11042-024-19652-4"
"387","https://doi.org/10.1109/wconf58270.2023.10235070"
"388","https://doi.org/10.1080/10255842.2024.2316877"
"389","https://doi.org/10.1007/s13721-024-00447-4"
"390","https://doi.org/10.1080/10255842.2024.2363946"
"391","https://doi.org/10.3390/bioengineering11070672"
"392","https://doi.org/10.1016/j.jksuci.2023.101807"
"393","https://doi.org/10.1016/j.health.2024.100319"
"394","https://doi.org/10.1016/j.measen.2024.101108"
"395","https://doi.org/10.3390/bioengineering11111053"
"396","https://doi.org/10.1109/access.2024.3429157"
"397","https://doi.org/10.4018/979-8-3693-5464-3.ch007"
"398","https://doi.org/10.1016/j.jnlest.2025.100315"
"399","https://doi.org/10.3390/technologies13060222"
"400","https://doi.org/10.4018/979-8-3693-9445-8.ch019"
"401","https://doi.org/10.1016/j.cmpbup.2025.100198"
"402","https://doi.org/10.62520/fujece.1694558"
"403","https://doi.org/10.1016/j.ijmedinf.2025.106041"
"404","https://doi.org/10.1007/978-3-031-92041-7_9"
"405","https://doi.org/10.1049/tje2.70110"
"406","https://doi.org/10.34256/ijcci2514"
"407","https://doi.org/10.1109/ginotech63460.2025.11076679"
"408","https://doi.org/10.1007/978-981-96-7445-9_8"
"409","https://doi.org/10.1016/j.health.2023.100255"
"410","https://doi.org/10.1109/icaccess61735.2024.10499584"
"411","https://doi.org/10.7759/cureus.59768"
"412","https://doi.org/10.1109/smarttechcon57526.2023.10391334"
"413","https://doi.org/10.56919/usci.2123.011"
"414","https://doi.org/10.54082/jiki.90"
"415","https://doi.org/10.1016/j.sciaf.2024.e02225"
"416","https://doi.org/10.23939/cds2024.01.017"
"417","https://doi.org/10.1007/978-3-031-59131-0_13"
"418","https://doi.org/10.1109/tqcebt59414.2024.10545194"
"419","https://doi.org/10.1145/3675094.3677602"
"420","https://doi.org/10.7759/s44389-024-02268-y"
"421","https://doi.org/10.13005/bpj/3031"
"422","https://doi.org/10.1088/1755-1315/1217/1/012038"
"423","https://doi.org/10.1109/iccit60459.2023.10441480"
"424","https://doi.org/10.1109/wconf58270.2023.10235122"
"425","https://doi.org/10.21203/rs.3.rs-3320207/v1"
"426","https://doi.org/10.1108/jm2-09-2022-0224"
"427","https://doi.org/10.46299/isg.2023.2.6"
"428","https://doi.org/10.1101/2023.11.17.23298646"
"429","https://doi.org/10.1109/rmkmate59243.2023.10368945"
"430","https://doi.org/10.33108/visnyk_tntu2024.01.027"
"431","https://doi.org/10.11603/2411-1597.2023.3-4.14548"
"432","https://doi.org/10.22541/au.171618337.73099150/v1"
"433","https://doi.org/10.11603/2411-1597.2024.1.14659"
"434","https://doi.org/10.62527/joiv.8.2.2689"
"435","https://doi.org/10.1109/icaaic60222.2024.10574944"
"436","https://doi.org/10.1007/978-3-031-64813-7_31"
"437","https://doi.org/10.14569/ijacsa.2024.01507128"
"438","https://doi.org/10.52783/cana.v31.1203"
"439","https://doi.org/10.1063/5.0229493"
"440","https://doi.org/10.1002/9781394272587.ch12"
"441","https://doi.org/10.1002/eng2.13034"
"442","https://doi.org/10.1016/j.health.2024.100368"
"443","https://doi.org/10.1109/hiset61796.2024.00052"
"444","https://doi.org/10.1007/978-3-031-72215-8_28"
"445","https://doi.org/10.1145/3708657.3708765"
"446","https://doi.org/10.1109/itnt57377.2023.10139121"
"447","https://doi.org/10.46299/isg.p.2023.2.6"
"448","https://doi.org/10.4018/979-8-3693-1850-8.ch017"
"449","https://doi.org/10.59247/jahir.v1i2.87"
"450","https://doi.org/10.32493/informatika.v8i2.30550"
"451","https://doi.org/10.1002/mabi.202400150"
"452","https://doi.org/10.1016/j.jrras.2025.101648"
"453","https://doi.org/10.1177/09287329241308465"
"454","https://doi.org/10.1016/j.advengsoft.2024.103648"
"455","https://doi.org/10.3390/diagnostics14222514"
"456","https://doi.org/10.1038/s41598-024-70354-1"
"457","https://doi.org/10.1007/s00521-024-09831-7"
"458","https://doi.org/10.1016/j.atech.2025.100768"
"459","https://doi.org/10.1007/978-3-031-81596-6_24"
"460","https://doi.org/10.29137/umagd.1432162"
"461","https://doi.org/10.1016/j.procs.2025.04.287"
"462","https://doi.org/10.3390/jpm15050200"
"463","https://doi.org/10.4018/979-8-3693-9445-8.ch019"
"464","https://doi.org/10.1016/j.eij.2025.100705"
"465","https://doi.org/10.1109/icpcsn65854.2025.11035960"
"466","https://doi.org/10.62520/fujece.1694558"
"467","https://doi.org/10.1016/j.brainres.2025.149807"
"468","https://doi.org/10.1038/s41598-025-14358-5"
"469","https://doi.org/10.1007/978-981-96-6718-5_6"
"470","https://doi.org/10.1016/j.ijcce.2024.09.005"
"471","https://doi.org/10.53759/7669/jmc202404107"
"472","https://doi.org/10.22541/au.171618337.73099150/v1"
"473","https://doi.org/10.1109/wids-psu61003.2024.00031"
"474","https://doi.org/10.1007/978-3-031-64813-7_31"
"475","https://doi.org/10.23887/janapati.v13i2.70016"
"476","https://doi.org/10.1109/iciteics61368.2024.10625300"
"477","https://doi.org/10.18280/jesa.570412"
"478","https://doi.org/10.1016/j.health.2024.100368"
"479","https://doi.org/10.2139/ssrn.4674576"
"480","https://doi.org/10.1016/j.clineuro.2025.108761"
"481","https://doi.org/10.1111/phn.13500"
"482","https://doi.org/10.1002/viw.20240059"
"483","https://doi.org/10.3389/fneur.2025.1489714"
"484","https://doi.org/10.1097/md.0000000000042690"
"485","https://doi.org/10.1007/s42452-024-06307-0"
"486","https://doi.org/10.3390/app15010149"
"487","https://doi.org/10.3844/jcssp.2025.124.133"
"488","https://doi.org/10.1051/itmconf/20257004029"
"489","https://doi.org/10.1007/s44196-025-00760-4"
"490","https://doi.org/10.3389/fcvm.2025.1525966"
"491","https://doi.org/10.48084/etasr.9736"
"492","https://doi.org/10.3389/fneur.2025.1524851"
"493","https://doi.org/10.1007/s00521-025-11416-x"
"494","https://doi.org/10.1161/strokeaha.125.051993"
"495","https://doi.org/10.1016/j.istruc.2025.110025"
"496","https://doi.org/10.1186/s40001-024-02147-1"
"497","https://doi.org/10.1097/wco.0000000000001333"
"498","https://doi.org/10.3390/a17120571"
"499","https://doi.org/10.1109/icosec61587.2024.10722454"
"500","https://doi.org/10.3389/fstro.2024.1488313"
"501","https://doi.org/10.2174/0118749445393308250529093953"
"502","https://doi.org/10.3389/fmed.2025.1587540"
"503","https://doi.org/10.1016/j.rerere.2025.05.002"
"504","https://doi.org/10.3390/app12147092"
"505","https://doi.org/10.3390/diagnostics12081899"
"506","https://doi.org/10.3390/bioengineering10030383"
"507","https://doi.org/10.3390/bioengineering12020140"
"508","https://doi.org/10.3390/diagnostics13061026"
"509","https://doi.org/10.3390/diagnostics13040814"
"510","https://doi.org/10.3390/app13085047"
"511","https://doi.org/10.3390/pr11010212"
"512","https://doi.org/10.3390/s24134355"
"513","https://doi.org/10.3390/electronics11152460"
"514","https://doi.org/10.1080/09540091.2022.2123450"
"515","https://doi.org/10.1002/mco2.778"
"516","https://doi.org/10.3390/app12178836"
"517","https://doi.org/10.3390/electronics11182865"
"518","https://doi.org/10.1155/2023/8616939"
"519","https://doi.org/10.3390/pr11030910"
"520","https://doi.org/10.57197/jdr-2024-0061"
