,type,title,doi,x5a,x5b,x6a,x7,x8a,x9a,x9b,x10,x11,cpm_type,first_auth_country,ethics,helsinki,practical_use,other_comments
36,stroke,Comparative Evaluation of Machine Learning Models for Stroke Prediction in Clinical Settings,10.37256/ccds.6220256976,no,no,no,yes,no,no,no,no,yes,development,Bangladesh,no statement,no statement,"The study underscores the importance of AI in early stroke detection, offering a reliable and interpretable framework for clinical applications. By leveraging ensemble learning and robust preprocessing techniques, this work contributes to improved diagnostic accuracy, potentially reducing stroke-related morbidity and mortality.","The article does note that the data is not from a peer-reviewed clinical study or government registry and there is a lack of documentation, that it is potentially synthetic or anonymized. Yet talks of practical implications and the potential scope to implement into stroke risk monitoring"
37,stroke,Fusing Attention and Convolution: A Hybrid Model for Brain Stroke Prediction,10.4108/eetsis.7022,no,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,"Plans include adding more complete patient data and refining the model to achieve even higher precision, which should result in better approaches to stroke treatment and prevention.",na
38,stroke,A Web-Based Interface That Leverages Machine Learning to Assess an Individual’s Vulnerability to Brain Stroke,10.1109/ACCESS.2025.3566093,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,"In conclusion, this research has successfully developed and tested a fully operational web-based interface designed to assess an individual’s risk of brain stroke, a leading global health concern.",The article has developed a clinical prediction model that is available to be used online https://strokedetection.streamlit.app/
39,stroke,Brain stroke prediction model based on boosting and stacking ensemble approach,10.1007/s41870-023-01418-0,yes,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,Further extension of this work is open to incorporating the feature selection method to extract more influential factors related to stroke and reach more accurate performance results of this deployed model.,The article says the data comes from prestigious healthcare organizations and institutions like AIMS and WHO
40,stroke,Stroke Disease Detection and Prediction Using Robust Learning Approaches,10.1155/2021/7633381,no,no,no,yes,no,no,no,no,no,development,Bangladesh,no statement,no statement,"In exchange for just providing some basic information, the machine learning architecture may help the general public in determining the likelihood of a stroke occurring in an adult patient. In an ideal world, it would help patients obtain early treatment for strokes and rebuild their lives after the event.",na
41,stroke,COMPUTATIONAL HEALTH CARE ANALYSIS USING HADOOP – STROKE PREDICTION ,na,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,"Also, on the professional front, our analysis could provide better insights in getting a step further towards personalised treatment for Stroke and related heart diseases.",na
42,stroke,A Hybrid Deep Learning Approach for Improved Detection and Prediction of Brain Stroke,10.3390/app15094639,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,na,article says the data comes from github but references the kaggle website
43,stroke,Prediction of Stroke Disease Using Deep CNN Based Approach,10.12720/jait.13.6.604-613,no,no,no,yes,no,no,no,no,yes,development,Bangladesh,no statement,no statement,We can use this model to diagnose a patient to determine the possibility of getting a stroke at an early stage.,na
44,stroke,An Interpretable Approach with Explainable AI for Heart Stroke Prediction,10.3390/diagnostics14020128,no,no,no,yes,no,no,no,no,yes,development,Brazil,no statement,no statement,"Collectively, these techniques contribute to robust, reliable, and more practical machine learning models suitable for real-world applications. The healthcare system may see less strain and better patient outcomes as a result of this in the long run.",Article uses cardiac stroke as the outcome not brain strokes
45,stroke,Multi-Layer Perceptron For Diagnosing Stroke With The SMOTE Method In Overcoming Data Imbalances,10.37058/innovatics.v5i1.6565,no,no,no,yes,no,no,no,no,yes,development,Indonesia,no statement,no statement,na,na
46,stroke,An effective PO-RSNN and FZCIS based diabetes prediction and stroke analysis in the metaverse environment,10.1038/s41598-025-96541-2,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,na,"apparent evidence of AI use in the paper ""The proposed work is designed to ensure high generalizability across the diverse differently abled persons like deaf and dumb individuals."""
47,stroke,Stroke Prediction based on Integrated Models of Biological Risk Factors,10.1145/3644116.3644171,yes,no,no,yes,no,no,no,no,no,development,United Kingdom,no statement,no statement,na,"articles states the data may come from ""clinical volunteers"" and the WHO or CDC: ""The database includes 11 influential risk factors for stroke accredited by WHO and CDC."" Potential that there is AI use in the writing"
48,stroke,A Glimpse to the Future: Identifying Stroke Risk Factors Using Data Visualization for Stroke Prediction,10.56741/esl.v3i01.470,no,no,no,no,no,yes,no,no,no,development,Indonesia,no statement,no statement,na,na
49,stroke,A hybrid system to predict brain stroke using a combined feature selection and classifier,10.1016/j.imed.2023.06.002,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,"The user interface aided in the prediction of brain stroke risk, informing the use of early intervention techniques.",Article explains that a user interface was developed to provide risk predictions of stroke
50,stroke,Revolutionizing heart attack prognosis: Introducing an innovative regression model for prediction,10.1016/j.imu.2025.101664,no,no,no,yes,no,no,no,no,yes,development,United Kingdom,statement that ethics is not required,no statement,"Healthcare professionals – can utilize predictive models to identify high-risk patients early, supporting preventive care and improved outcomes. • Clinical researchers and data scientists – may adapt the modeling pipeline for various medical prediction tasks, enhancing methodological rigor. Hospital administrators and policymakers – can apply these findings to optimize resource allocation, risk stratification, and health policy planning. • Patients and caregivers – stand to benefit from early detection and personalized care through AI-enhanced tools integrated into electronic health systems or wearable technologies. Educators and academic institutions – may use this work as a case study for training in health informatics, machine learning, and applied data science.",Article is predicting heart attacks as the outcome but has used the stroke prediction dataset
51,stroke,An Ensemble Machine Learning and Data Mining Approach to Enhance Stroke Prediction,10.3390/bioengineering11070672,no,no,no,yes,no,no,no,no,yes,development,United Kingdom,no statement,no statement,This balance between high performance and interpretability is crucial for the adoption of these models in clinical settings.,na
52,stroke,Intelligent Stroke Disease Prediction Model Using Deep Learning Approaches,10.1155/2024/4523388,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,"The test results show that the designed stroke prediction model has high application value, which can assist doctors in assessing and predicting stroke conditions and provide an objective basis for medical decisions.",na
53,stroke,Combinations of Optimization Method and Balancing Technique in Hypertension Classification with Machine Learning,10.35882/ijeeemi.v7i2.86,no,no,no,yes,no,no,no,no,yes,development,Indonesia,no statement,no statement,na,article uses hypertension as the outcome from the stroke prediction dataset
54,stroke,Stroke Prediction with Enhanced Gradient Boosting Classifier and Strategic Hyperparameter,10.30812/matrik.v23i2.3555,no,no,no,yes,no,no,no,no,no,development,Indonesia,no statement,no statement,na,na
55,stroke,Web Design for Stroke Early Detection Using Decision Tree C5.0, 10.33751/komputasi.v20i2.8265,no,no,no,yes,no,no,no,no,no,development,Indonesia,no statement,no statement,"Thus, the model is applied to web applications to predict the risk of stroke.","there is an active website for the prediction of stroke from this article ""https://rezaummamnor.github.io/StrokePredictionRezaUmmam/"""
56,stroke,A machine learning approach for predictings stroke,10.53388/MDM202407015,no,no,no,yes,no,no,no,no,no,development,United States of America,statement that ethics is not required for this study,no statement,"Additionally, the study’s validation process relied exclusively on internal validation through training and test splits. To ensure the model’s robustness and generalizability in real-world clinical practice, external validation is imperative. Ongoing efforts include deploying the prediction model in a local heart clinic to validate its performance in clinical settings.",Article mentioned will continue to validate the model in a clinical setting on real patients
57,stroke,Explainable and Interpretable Model for the Early Detection of Brain Stroke Using Optimized Boosting Algorithms,10.3390/diagnostics14222514,no,no,no,yes,no,no,no,no,no,development,India,no statement,no statement," The proposed method using random sampling, extensive feature analysis, and explainable AI offers significant potential for clinical applications. The proposed random sampling approach ensures that the model can identify stroke and non-stroke cases appropriately. The exhaustive feature analysis helps medical professionals to prioritize risk factors. Most importantly, the integration of LIME and SHAP ensures that the model’s predictions are transparent and interpretable. The explainability provided by LIME and SHAP assists healthcare providers in making informed decisions based on individual patient risk profiles. Integrating the model into real-time clinical decision support systems would allow healthcare professionals to use the model’s predictions alongside traditional diagnostic tools, ultimately leading to more informed and timely interventions.",na
58,stroke,Comparison of Classification and Regression Model Approaches on the Main Causes of Stroke with Symbolic Regression Feyn Qlattice,10.59247/jahir.v1i2.87,no,no,no,yes,no,no,no,no,yes,development,Indonesia,no statement,no statement,na,na
59,stroke,"Improving stroke risk prediction by integrating XGBoost, optimized principal component analysis, and explainable artificial intelligence",10.1186/s12911-025-02894-z,no,no,no,yes,no,no,no,no,yes,development,Ukraine,statement that ethics was not applicable,no statement,na,na
60,stroke,Predictive modelling and identification of key risk factors for stroke using machine learning,10.1038/s41598-024-61665-4,yes,no,no,yes,no,no,no,no,yes,development,Pakistan,no statement,no statement,"By conducting external validation studies on these diverse and independent datasets, the authors aim to evaluate and validate the performance of the proposed DSE model. The proposed DSE model can integrate seamlessly into daily life using mobile or web applications, allowing the users to input health data effortlessly. With swift processing and prediction time the results can be relayed promptly. This integration will help in making prompt healthcare intervention in cases of predicted stroke risk.",Article says the dataset comes from McKinsey & Company EHR and is pre-processed with only 30% being publically available. Article also mentions the authors aim to externally validate the model
61,stroke,SPE: Ensemble Hybrid Machine Learning Model for Efficient Diagnosis of Brain Stroke towards Clinical Decision Support System (CDSS) ,na,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,Thus the ensemble model can be used for efficient brain stroke diagnosis as part of Clinical Decision Support System (CDSS). ,na
62,stroke,Pre-Diagnosing the Stroke Using Artificial Neural Network ,10.14704/nq.2022.20.10.NQ55093,no,no,no,yes,no,no,no,no,no,development,Iraq,no statement,no statement,Doctors can plan ahead by pre-diagnosing a stroke. In addition to providing patients with better medicines.,na
63,stroke,Unveiling the potential of machine learning approaches in predicting the emergence of stroke at its onset: a predicting framework,10.1038/s41598-024-70354-1,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,"With the help of machine learning architecture, the public may be able to calculate their risk of developing a stroke in adult patients for the price of providing some basic information. As a result, patients would be able to receive early stroke treatment and recover in a timely manner.",na
64,stroke,Comparison of Machine Learning and Deep Learning Techniques for Stroke Prediction,10.29137/umagd.1432162,no,no,no,yes,no,no,no,no,yes,development,Turkey,no statement,no statement,"Based on this information, experts can make more accurate and faster diagnoses and improve treatment planning. Educational programs should focus on how these models can be integrated, interpreted, and incorporated into patient care processes in clinical environments.",article mainly was comparing different methods of modelling for stroke but did have practical recommendations
65,stroke,BrainOK: Brain Stroke Prediction using Machine Learning,na,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,"Thus, the Brain Stroke Prediction system has been implemented using the given 5 Machine Learning algorithm given a highest accuracy of 98.56%. The system is therefore designed providing simple yet efficient User Interface design with an empathetic approach towards their users and patients.",The article produced a web application for the prediction of stroke but can not determine if it is publically available
66,stroke,Enhancing stroke prediction using the waikato environment for knowledge analysis,10.11591/ijai.v13.i3.pp3010-3017,no,no,no,yes,no,no,no,no,yes,development,Jordan,no statement,no statement,na,na
67,stroke,Robust classification model for identifying stroke patients utilising a machine learning-based ensemble stacking method,10.1088/2631-8695/adad3a,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,na,na
68,stroke,Machine Learning Prediction of Brain Stroke at an Early Stage,10.24996/ijs.2023.64.12.39,no,no,no,yes,no,no,no,no,yes,development,Iraq,no statement,no statement,"Furthermore, our model might predict the probability of stroke based on comprehensive data, reducing expenditures. This model can also aid decision-making by reducing overcrowding, improving resource use, and reducing wasteful labor expenditures.",na
69,stroke,Health Seek: A Deep Learning-Based Intelligent System to Aid Medical Diagnosis,10.4236/jbise.2022.151007,no,no,no,yes,no,no,no,no,yes,development,Spain,no statement,no statement,"As a use case, one of these models has been successfully tested in diagnosing stroke events.",The article makes an app that has been used in practice
70,stroke,"Classification of stroke patients using data mining with AdaBoost, Decision Tree and Random Forest models",10.33096/ilkom.v14i3.1328.218-228,no,no,no,yes,no,no,no,no,no,development,Indonesia,no statement,no statement,na,na
71,stroke,A new stroke prediction model combined algorithm based on artificial neural networks and logistic regression,10.1117/12.2656802,no,no,no,yes,no,no,no,no,yes,development,China,no statement,no statement,"In the future, it is hoped that the model can be applied to predict not only stroke but also other diseases.",na
72,stroke,Prediction of Stroke Disease with Demographic and Behavioural Data Using Random Forest Algorithm,10.3390/analytics2030034,no,no,no,no,no,no,no,no,no,development,United Kingdom,no statement,no statement,"In practise, our study is useful to medical practitioners for predicting stroke incidence at an early stage. Also, we demonstrated a workflow that is useful for hospitals to implement as an automated system for early-stage stroke incidence prediction.",Article says the data comes from hospitals in Bangladesh from a team of researchers for academic purposes
73,stroke,Enhancing Stroke Prediction Using LightGBM With SMOTE-ENN and Fine-Tuning: A Comprehensive Analysis,10.7759/s44389-02402268-y,no,no,no,yes,no,no,no,no,yes,development,Singapore,no statement,no statement,"Finally, integrating real-time processing of data and embedding these models into clinical decision support systems could enable actionable insights at the point of care.",Says the dataset comes from a medical research project
74,stroke,A Robust Methodology for Stroke Disease Prediction using a Hard Voting Classifier,10.48084/etasr.10292,no,no,no,yes,no,no,no,no,yes,development,Iraq,no statement,no statement,"By advancing scalable, interpretable, and data-driven stroke prediction models, this research paves the way for early intervention strategies, ultimately reducing stroke mortality and improving global healthcare outcomes. In future work, the integration of realworld clinical data, real-time edge AI applications, and explainable decision-making frameworks will empower healthcare providers to make proactive, data-driven interventions.",na
75,stroke,An intelligent learning system based on electronic health records for unbiased stroke prediction,10.1038/s41598-024-73570-x,no,no,no,yes,no,no,no,no,no,development,Thailand,no statement,no statement,na,na
76,stroke,A brain stroke detection model using soft voting based ensemble machine learning classifier,10.1016/j.measen.2023.100871,no,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,na,na
77,stroke,A Machine Learning Ensemble Classifier for Prediction of Brain Strokes,10.14569/IJACSA.2022.0131232,no,no,no,yes,no,no,no,no,yes,development,Egypt,no statement,no statement,na,na
78,stroke,Detecting Stroke in Human Beings Using Machine Learning,10.54941/ahfe1003460,no,no,no,no,no,no,no,no,no,development,Vietnam,no statement,no statement,"This will help to prevent stroke as early as possible instead of managing the patients. We wish scientists can furthermore develop it, so that it can be applied in real world to save precious human-lives.","Authors state that they have collected various data of people including patients affected by stroke. The dataset has 28524 people without stroke, much larger than other articles and the dataset accessible"
79,stroke,A novel K-nearest neighbor classifier for lung cancer disease diagnosis,10.1007/s00521-024-10235-w,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,na,"Article was a lung cancer study and used the same model with the stroke dataset, the stroke dataset was not a primary dataset"
80,stroke,Detecting Brain Stroke Using Enhanced Ensemble Models in Data-Driven Healthcare Systems for the Future Factories,10.7759/s44389-025-06211-7,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,"In the context of future factories, such models can improve worker safety through real-time health monitoring and early intervention. Implementing these predictive systems will improve operational efficiency and health outcomes, making future factories smarter and safer.",na
81,stroke,Analyzing the Performance of Stroke Prediction using ML Classification Algorithms,10.14569/IJACSA.2021.0120662,no,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,The web page is built using simple HTML code. This application has an input form that will take the entered input values from the user to predict the occurrence of stroke.,Article has a practical user interface for the prediction of stroke
82,stroke,Multiple Explainable Approaches to Predict the Risk of Stroke Using Artificial Intelligence,10.3390/info14080435,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,"Medical professionals can use the classifiers as a decision support system for the prediction of stroke. Real-time stroke screening might be implemented using a user interface, and this framework could be expanded to forecast stroke in a broader population.",na
83,stroke,Deep Learning and Machine Learning for Early Detection of Stroke and Haemorrhage.,10.32604/cmc.2022.024492,no,no,no,yes,no,no,no,no,yes,development,Saudi Arabia,no statement,no statement,na,na
84,stroke,Genetic Folding (GF) Algorithm with Minimal Kernel Operators to Predict Stroke Patients,10.1080/08839514.2022.2151179,no,no,no,yes,no,no,no,no,yes,development,Saudi Arabia,no statement,no statement,The findings are promising for lifecritical applications like stroke detection and mitigation.,"Article where they explain the data, could be considered they talk about WHO to give authenticity to the data."
85,stroke,Process Mining Organization (PMO) Based on Machine Learning Decision Making for Prevention of Chronic Diseases,10.3390/eng5010015,no,no,no,yes,no,no,no,no,no,development,Italy,no statement,no statement,na,Is unclear if this article was implemented into practice or not
86,stroke,Risk factor identification for stroke prognosis using machine-learning algorithms,10.5455/jjcit.71-1652725746,no,no,no,yes,no,no,no,no,yes,development,Bangladesh,no statement,no statement,"Therefore, healthcare providers can use these classifiers that are the most suited for predicting stroke based on the medical history of a patient in the real world.",na
87,stroke,Machine Learning Approaches in Medical Data Processing: A Proposal for an Intelligent Stroke Diagnosis System,10.62520/fujece.1694558,no,no,no,yes,no,no,no,no,yes,development,Turkey,statemetn that ethics was not applicable,no statement,"Furthermore, the practicality and generalizability of these models in clinical applications are tested on real-world data to provide a new perspective to the literature.",Introduction states the models tested on real-world data provides new perspectives
88,stroke,A Machine Learning Framework for Stroke Prediction: Balancing Precision and Recall in Healthcare Analytics,10.1109/MeMeA65319.2025.11068036,no,no,no,yes,no,no,no,no,yes,development,Romania,no statement,no statement,na,na
89,stroke,Data Management Analysis for Predicting Stroke using RapidMiner,10.61487/jiste.v2i3.95,no,no,no,no,no,no,no,no,yes,development,Indonesia,no statement,no statement,na,na
